Target,Wavelength,Irradiation,Time,Label,Perc.Reactivation,Perc.R-SD,LogReactivation,LogReactivation-SD,LRV,LRV-SD
MS2,222,3 Log,3,3 hrs PhR,0.001559895,0.015608606,0.012134877,0.105332352,3.102292871,0.212740977
T4,222,3 Log,3,3 hrs PhR,0.106387218,0.069850003,0.012134877,0.105332352,2.623898246,0.189749978
MS2,254,3 Log,3,3 hrs PhR,0.033249634,0.044904723,-0.109220721,0.179770963,2.921492782,0.183978028
T4,254,3 Log,3,3 hrs PhR,0.231815452,0.125463591,-0.463672207,0.231490169,2.472164343,0.174323941
MS2,No UV,No UV,3,3 hrs PhR,,,,,-0.180348894,0.161669853
T4,No UV,No UV,3,3 hrs PhR,,,,,-0.011381613,0.143615108
MS2,222,3 Log,6,6 hrs PhR,-0.010047416,0.013210838,0.048913455,0.05827874,3.139071449,0.078442389
T4,222,3 Log,6,6 hrs PhR,-0.012539321,0.032059972,0.048913455,0.05827874,2.877662634,0.048383232
MS2,254,3 Log,6,6 hrs PhR,0.07617755,0.06617575,-0.23315313,0.194938447,2.797560373,0.194172207
T4,254,3 Log,6,6 hrs PhR,1.212644318,0.823570653,-1.005231985,0.419108659,1.930604564,0.276241786
MS2,No UV,No UV,6,6 hrs PhR,,,,,-0.2139848,0.136132487
T4,No UV,No UV,6,6 hrs PhR,,,,,0.020730449,0.181675175
MS2,222,3 Log,0,After UV,0,0,0,0,3.090157994,0.121849333
T4,222,3 Log,0,After UV,0,0,0,0,2.841228876,0.076835236
MS2,254,3 Log,0,After UV,0,0,0,0,3.030713503,0.02531974
T4,254,3 Log,0,After UV,0,0,0,0,2.935836549,0.175357457
MS2,No UV,No UV,0,Before UV,,,,,0,0
T4,No UV,No UV,0,Before UV,,,,,0,0
